"region3","region1","X36081","X36047","X36061","X36005","X36085","X36081b","X36047b","X36061b","X36005b","X36085b"
"Venezuela","Americas",0.00345417589246277,0.00216164832195538,0.00455649388854727,0.00263757748306184,0.00276340667788651,3652,1992,2060,1171,266
"Other South America","Americas",0.00438392805628831,0.00192508239113898,0.000962172253164109,0.002797498918841,0.00178686446840782,4635,1774,435,1242,172
"France","Europe",0.00210920378975684,0.00323162083473048,0.0198649862199238,0.00106989692950843,0.00281535041243325,2230,2978,8981,475,271
"Canada","Americas",0.00343715092913737,0.00655548067918296,0.0240476706583912,0.00113521695257316,0.00492426603503085,3634,6041,10872,504,474
"Other Northern America","Americas",0.000135253875307277,0.000106346152385355,0.000316300303913719,0.00016893109413291,0,143,98,143,75,0
"Germany","Europe",0.00570147105141444,0.00443398345557715,0.0189802301250603,0.00273443131036471,0.00478921232520933,6028,4086,8581,1214,461
"Netherlands","Europe",0.000316853484111453,0.000556689552792726,0.00283785517427483,0.000351376675796454,0.000436327370192607,335,513,1283,156,42
"Switzerland","Europe",0.000369820036679338,0.000630480760570319,0.00312540090510548,0.000105863485656624,0.000581769826923477,391,581,1413,47,56
"Other Western Europe","Europe",2.2699951100522e-05,5.85989002939712e-05,0.000289757621067812,0,0.00028049616655239,24,54,131,0,27
"Greece","Europe",0.0145213478852631,0.0047324037811483,0.00556511583669172,0.00257225745999712,0.00624363689251802,15353,4361,2516,1142,601
"Italy","Europe",0.0176123245601175,0.0190815381994294,0.0125613246568252,0.0148817031858152,0.0731991107232646,18621,17584,5679,6607,7046
"Portugal","Europe",0.00104608941321572,0.000276717029165975,0.00110594511857944,0.000209474556724809,0.000311662407280434,1106,255,500,93,30
"Spain","Europe",0.00250645293401597,0.00147148349627083,0.00648968595582413,0.00197086276488396,0.00171414324004239,2650,1356,2934,875,165
"Other Southern Europe","Europe",0.000528719694382992,0.000108516482025872,0.0010484359724133,0,0.00125703837603108,559,100,474,0,121
"Albania","Europe",0.00390344575799393,0.00409107137237539,0.00102852896027888,0.00836772019605017,0.0198113403561262,4127,3770,465,3715,1907
"Belarus","Europe",0.000893810574583054,0.0108114971042377,0.00114797103308545,0.000234251117197636,0.0118120052359284,945,9963,519,104,1137
"Bulgaria","Europe",0.00154265084353964,0.00101679943658243,0.00213226218862115,0.00104962519821248,7.27212283654346e-05,1631,937,964,466,7
"Croatia","Europe",0.00409639534234837,0.000276717029165975,0.00154832316601121,0.000227493873432319,0.0042593862328326,4331,255,700,101,410
"Czechoslovakia (includes Czech Republic and Slovakia)","Europe",0.00167317556236764,0.00257075545919292,0.00321830029506616,0.000387415309211475,0.00221280309169108,1769,2369,1455,172,213
"Hungary","Europe",0.00223405352080971,0.00358212907167405,0.00386638413455371,0.00118477007351881,0.00149597955494608,2362,3301,1748,526,144
"Latvia","Europe",0.000377386687046178,0.00150837910015963,0.000818399387748782,0.000180193167075105,0.00179725321531717,399,1390,370,80,173
"Lithuania","Europe",0.00045399902201044,0.000487239004296168,0.00074540700992254,0.000177940752486666,0.000342828648008477,480,449,337,79,33
"Macedonia","Europe",0.000246861968218177,0.00045142856522763,0.000373809450079849,0.000200464898371054,0.0119990026802967,261,416,169,89,1155
"Moldova","Europe",0.000686673520790791,0.00332711533891325,0.00047113262051484,1.35144875306328e-05,0.0035217852022689,726,3066,213,6,339
"Poland","Europe",0.0211431127875445,0.0250814144906399,0.0100552530181242,0.00353178607467205,0.039757734422074,22354,23113,4546,1568,3827
"Romania","Europe",0.00801970355755525,0.00328262358128264,0.00458967224210466,0.00135595358224016,0.00313740156662303,8479,3025,2075,602,302
"Russia","Europe",0.0125284813448964,0.047386977371058,0.0163525045233155,0.00423003459708808,0.0502919237881527,13246,43668,7393,1878,4841
"Ukraine","Europe",0.00558513380202427,0.0467586669401282,0.00622868290783938,0.00265559679976935,0.0549356936566311,5905,43089,2816,1179,5288
"Bosnia and Herzegovina","Europe",0.00111986425429242,0.000198585162107347,0.000475556400989157,0.000195960069194176,0.00137131459203391,1184,183,215,87,132
"Yugoslavia","Europe",0.0046137650611811,0.00245355765860498,0.00531738413012993,0.00461294507712268,0.0262004197053751,4878,2261,2404,2048,2522
"Other Eastern Europe","Europe",0.00315907652815598,0.0050872526773729,0.00345054876996784,0.00285380928355197,0.0176193147582539,3340,4688,1560,1267,1696
"Europe n.e.c.","Europe",0.000214703704159104,0.000632651090210837,0.000681262193044932,0.000243260775551391,0.0025867979804276,227,583,308,108,249
"China excluding Hong Kong and Taiwan","Asia",0.0986435833386142,0.107990177088047,0.118462205431518,0.0092867053481332,0.0590392486858235,104293,99515,53557,4123,5683
"Hong Kong","Asia",0.0140039781664304,0.0123491756545443,0.0129705243506996,0.000970790687617126,0.016071391468761,14806,11380,5864,431,1547
"Taiwan","Asia",0.0141080196089744,0.00266516479855543,0.00940495728839952,0.000346871846619576,0.0039996675600989,14916,2456,4252,154,385
"Japan","Asia",0.00596819547684558,0.00349531588605335,0.0246382453517127,0.00123882802364134,0.0016310332647676,6310,3221,11139,550,157
"Korea","Asia",0.0460468508074089,0.00569494497671779,0.0229992346859779,0.00518505838258613,0.0309688545367658,48684,5248,10398,2302,2981
"Other Eastern Asia","Asia",0.000114445586798465,9.00686800814742e-05,0.000373809450079849,0,0,121,83,169,0,0
"Afghanistan","Asia",0.00437446974332976,0.000286483512548303,0.000145984755652486,3.15338042381433e-05,0,4625,264,66,14,0
"Bangladesh","Asia",0.0334294613207021,0.0147180904571691,0.00586150912847101,0.0181386946806977,0.0061085831826965,35344,13563,2650,8053,588
"India","Asia",0.0493563145116058,0.00782403835406541,0.023695980110683,0.00624144082456393,0.0372332689231025,52183,7210,10713,2771,3584
"Iran","Asia",0.00256225698047142,0.00156046701153205,0.00455649388854727,0.000391920138388352,0.000581769826923477,2709,1438,2060,174,56
"Kazakhstan","Asia",0.00068289019560737,0.00149644228713678,0.000287545730830653,0.000313085627792994,0.000810322258929128,722,1379,130,139,78
"Nepal","Asia",0.00383534590469236,0.000526304937825482,0.000194646340869981,0.000425706357214934,0,4055,485,88,189,0
"Pakistan","Asia",0.0153801627018995,0.0155536673687683,0.00523112041088073,0.00636757604151651,0.0214735398616219,16261,14333,2365,2827,2067
"Sri Lanka","Asia",0.00138469701713184,0.000258269227221577,0.00136252438608986,0.000590132622170967,0.0136404246919737,1464,238,616,262,1313
"Uzbekistan","Asia",0.00834601535462526,0.00776435428895118,0.000769737802531287,0,0.00472687984375325,8824,7155,348,0,455
"Other South Central Asia","Asia",0.0013582137408479,0.00117306317069968,0.000276486279644859,0.000222989044255442,0.000945375968750649,1436,1081,125,99,91
"Cambodia","Asia",0.000314961821519743,0.000875728009948791,0.00023446036513884,0.00213754144442843,0.00143364707349,333,807,106,949,138
"Indonesia","Asia",0.00305314342302021,0.000913708778657846,0.00133598170324396,0.00035813391956177,0.000436327370192607,3228,842,604,159,42
"Laos","Asia",0.000159845488999509,0.000107431317205614,0.000139349084941009,0.000195960069194176,0,169,99,63,87,0
"Malaysia","Asia",0.00391006657706492,0.00242317304363773,0.00459851980305329,0.000351376675796454,0.00316856780735108,4134,2233,2079,156,305
"Burma","Asia",0.00336810524453995,0.0021822664535403,0.00121432774020022,0.000153164192013839,0.00154792328949282,3561,2011,549,68,149
"Philippines","Asia",0.0321478599148184,0.0069776097942636,0.0181374999447027,0.010840871414156,0.042147146211224,33989,6430,8200,4813,4057
"Singapore","Asia",0.000312124327632178,0.000261524721682353,0.00209466005458945,0,0,330,241,947,0,0
"Thailand","Asia",0.00255374449880873,0.000846428559801805,0.00212341462767252,0.00096178102926337,0.000477882357829999,2700,780,960,427,46
"Vietnam","Asia",0.00415503688269138,0.00536288454171862,0.00450783230332978,0.00654326437941473,0.00533981591140477,4393,4942,2038,2905,514
"Other South Eastern Asia","Asia",6.71540220057109e-05,0,0,0,0,71,0,0,0,0
"Iraq","Asia",0.000374549193158613,0.000200755491747864,0.000652507619961867,0.000459492576041517,0.00042593862328326,396,185,295,204,41
"Israel","Asia",0.00415030772621211,0.0141440382672522,0.0132624938620046,0.00141001153236269,0.0107627417980843,4388,13034,5996,626,1036
"Jordan","Asia",0.000311178496336322,0.000728145594393604,0.00104622408217615,9.91062418913075e-05,0.00331401026408195,329,671,473,44,319
"Kuwait","Asia",0.00016552047677464,0.000541497245309104,0.000130501523992373,0.000139649704483206,0.00157908953022086,175,499,59,62,152
"Lebanon","Asia",0.00120688073351109,0.00204228019172692,0.0025171310898868,0.00018920282542886,0.00528787217685803,1276,1882,1138,84,509
"Saudi Arabia","Asia",6.8099853301566e-05,0.000621799442008249,0.00084273018035753,4.73007063572149e-05,0.00108042967857217,72,573,381,21,104
"Syria","Asia",0.000152278838632668,0.00305148347456753,0.000303028962490765,4.95531209456537e-05,0.00175569822767978,161,2812,137,22,169
"Yemen","Asia",0.00156156746945674,0.00383388730997408,0.00138685517869861,0.00333807842006631,0.00246213301751543,1651,3533,627,1482,237
